cgpa,backlog_history,DSA_problems_solved,GitHub_repos,development_projects_count,AI_ML_projects,internships_completed,hackathons_participated,self_learning_hours,resume_score
6.49,0,598,28.0,11,3,4,2,4.8,100
7.49,2,717,2.0,2,2,0,0,3.3,70
9.81,0,736,8.0,7,4,3,3,4.5,99
7.02,0,528,25.0,6,1,2,2,2.2,84
7.96,1,855,37.0,12,7,7,4,7.8,100
7.13,0,758,9.0,4,1,1,0,3.7,63
8.27,0,545,9.0,6,2,1,3,3.9,96
8.26,0,767,23.0,8,4,3,0,3.3,96
8.97,0,637,28.0,9,6,3,0,5.1,100
7.65,0,550,32.0,10,1,3,3,3.7,100
7.05,0,573,13.0,5,2,2,2,2.4,65
6.68,0,556,,11,7,4,3,5.5,100
7.17,0,780,11.0,5,1,1,1,2.8,77
7.43,0,869,10.0,3,0,2,2,2.9,79
8.08,2,828,25.0,7,4,3,0,3.2,98
7.27,0,281,19.0,7,5,3,3,2.8,92
7.06,0,595,13.0,4,3,2,2,2.7,56
6.76,0,464,20.0,8,4,4,0,4.2,100
7.13,2,571,38.0,10,5,3,2,3.9,64
7.46,0,484,13.0,5,3,2,2,3.4,68
6.78,0,733,24.0,9,1,3,4,4.5,95
7.1,0,723,24.0,8,4,3,5,5.1,100
7.04,0,432,19.0,7,4,2,2,3.4,77
8.16,0,580,15.0,5,4,3,4,3.1,87
7.69,0,989,17.0,7,3,1,0,2.0,75
8.76,0,695,12.0,2,0,2,4,4.7,85
7.37,0,835,10.0,7,4,3,4,3.5,100
8.93,1,850,29.0,10,7,5,1,4.0,100
7.82,0,631,18.0,5,2,4,2,3.7,100
7.44,0,670,15.0,5,5,1,4,4.4,61
7.34,0,617,20.0,8,4,3,4,1.5,85
8.8,0,924,31.0,8,5,3,1,3.8,100
8.37,1,690,21.0,5,2,1,0,1.4,92
7.34,0,660,8.0,3,0,1,2,2.1,69
7.86,0,669,45.0,11,6,5,3,4.9,100
8.38,1,844,17.0,9,4,4,5,3.9,100
8.34,1,688,3.0,1,0,2,3,3.1,75
6.26,1,621,37.0,9,4,3,4,4.2,92
7.48,0,609,12.0,5,1,2,2,4.1,76
8.32,0,810,20.0,7,5,3,0,3.9,76
8.64,1,562,0.0,1,0,0,2,2.7,79
7.09,0,728,14.0,8,3,4,2,6.1,100
6.71,2,730,23.0,7,3,6,10,5.9,100
8.5,1,464,31.0,10,7,7,0,5.5,100
7.18,0,571,29.0,9,2,2,1,3.3,90
7.38,0,614,22.0,8,3,7,0,5.5,100
7.53,0,796,16.0,6,4,3,3,5.5,90
6.51,0,415,18.0,4,2,1,7,4.1,60
7.56,0,692,38.0,11,5,7,3,5.6,100
8.22,2,757,18.0,6,4,1,4,1.3,83
6.75,0,598,5.0,4,2,1,2,1.5,74
7.67,0,568,9.0,4,3,1,1,2.4,90
8.97,0,751,14.0,5,1,2,0,3.3,68
7.28,0,653,6.0,3,0,3,7,5.0,57
6.72,0,605,26.0,8,6,3,1,4.8,81
8.1,0,718,14.0,4,3,3,2,3.8,93
6.99,0,584,20.0,7,4,1,1,2.2,62
6.43,0,575,6.0,1,1,1,3,4.1,87
7.74,0,769,17.0,8,4,5,5,6.1,100
8.07,0,816,17.0,9,6,5,7,5.4,100
6.65,2,514,26.0,7,3,5,4,4.3,100
7.03,0,743,7.0,6,5,3,3,2.9,100
8.02,0,524,26.0,11,5,4,4,6.2,93
7.3,3,619,7.0,2,0,1,0,3.3,63
6.71,1,689,22.0,8,4,4,5,5.5,100
6.51,1,622,24.0,6,2,3,0,4.7,78
9.71,0,896,34.0,11,4,9,0,7.8,100
6.33,1,616,21.0,8,1,1,3,4.3,73
9.07,0,684,10.0,5,0,3,0,3.1,79
7.24,0,756,24.0,9,8,4,2,4.4,94
7.26,0,586,10.0,4,1,0,3,4.5,67
7.46,0,481,31.0,9,4,4,0,4.4,100
9.14,0,636,24.0,7,3,5,4,4.3,100
6.23,0,653,36.0,12,7,6,0,6.2,100
7.79,1,765,21.0,8,1,3,7,3.3,74
6.15,0,501,32.0,7,4,3,2,1.9,78
6.93,0,643,26.0,8,5,4,2,3.7,100
8.35,0,473,10.0,5,3,0,3,1.6,55
8.21,0,659,34.0,10,3,5,4,7.1,100
6.72,0,431,18.0,7,2,4,4,2.9,100
6.77,0,698,28.0,11,4,4,1,4.7,100
7.09,0,600,27.0,8,3,4,2,6.1,100
9.21,1,462,16.0,6,3,6,3,7.4,100
7.22,2,532,6.0,4,3,3,3,2.8,72
8.21,1,668,20.0,6,4,2,1,3.8,74
7.33,0,902,14.0,3,2,1,6,0.7,66
6.83,0,716,15.0,3,1,1,2,4.6,70
8.6,2,592,37.0,9,3,4,1,5.5,100
6.49,2,537,9.0,7,4,2,3,1.5,98
7.35,0,594,12.0,6,2,3,5,3.0,100
8.88,0,772,20.0,7,5,4,1,6.6,99
7.19,0,643,2.0,2,0,2,3,3.3,93
7.18,0,554,20.0,8,5,2,0,5.4,70
7.29,0,665,6.0,4,2,1,2,5.8,89
7.22,0,499,24.0,7,2,3,2,4.3,84
7.42,0,786,29.0,9,2,3,0,4.8,79
8.59,1,840,10.0,5,0,2,2,3.1,100
5.2,2,595,0.0,5,5,2,4,5.5,74
8.05,0,671,37.0,11,5,5,4,5.6,100
7.53,1,473,3.0,2,2,1,4,4.2,69
8.0,0,601,24.0,10,5,8,3,6.6,100
8.66,3,794,23.0,10,6,4,3,4.2,100
8.96,2,692,20.0,7,3,3,2,4.2,100
9.37,0,821,26.0,8,1,4,3,5.0,69
6.26,0,613,,11,4,4,4,4.9,79
6.47,0,785,14.0,7,5,3,2,4.6,76
5.84,0,575,6.0,6,4,3,0,5.0,81
6.89,0,493,19.0,5,3,2,6,4.1,78
6.6,1,505,6.0,3,0,1,3,2.4,61
7.22,0,576,24.0,9,5,4,3,6.6,97
7.74,1,712,20.0,8,2,8,2,6.5,100
8.15,1,586,12.0,5,2,2,0,4.1,98
8.1,0,857,13.0,7,3,1,0,2.6,88
7.35,0,987,27.0,8,7,4,5,3.2,87
5.87,0,746,3.0,3,2,0,4,1.8,61
7.49,0,628,21.0,6,1,1,0,2.9,90
7.78,0,691,8.0,1,0,0,4,1.2,76
5.73,0,492,7.0,5,0,0,3,1.4,69
7.98,1,459,17.0,7,4,2,3,4.3,78
7.69,0,646,13.0,6,2,2,3,3.3,74
9.54,1,717,10.0,5,4,4,3,4.9,95
6.35,1,424,17.0,6,3,2,5,2.9,73
7.4,1,601,24.0,7,5,3,3,5.7,100
7.23,0,313,27.0,9,4,5,3,5.0,93
6.59,0,614,28.0,11,4,4,6,6.0,100
8.01,0,772,16.0,5,1,3,2,5.0,78
6.03,0,747,2.0,1,0,1,2,1.1,78
6.21,0,728,24.0,8,3,3,2,4.8,96
7.78,1,580,19.0,5,0,2,0,4.3,73
8.84,0,508,22.0,7,1,1,4,2.5,72
6.85,0,661,17.0,8,6,2,1,5.0,70
7.24,0,743,19.0,7,1,4,3,5.2,100
7.22,0,713,23.0,7,3,2,4,4.2,73
7.11,2,581,18.0,4,2,0,5,2.1,42
7.62,0,472,10.0,8,3,5,4,5.0,98
7.83,2,828,7.0,1,1,0,1,2.6,69
8.95,0,668,17.0,4,1,1,5,3.3,78
7.78,3,427,21.0,7,4,4,0,2.8,100
7.96,0,879,28.0,9,4,6,0,4.7,100
7.7,0,538,10.0,3,5,1,0,3.3,76
6.99,0,615,15.0,4,1,1,3,1.7,75
8.27,0,645,19.0,7,3,4,0,4.9,100
8.73,2,633,5.0,4,2,2,2,2.6,61
8.74,0,705,19.0,6,4,2,1,2.4,77
7.39,1,639,19.0,8,2,2,1,4.8,85
6.55,0,565,10.0,6,3,4,4,4.1,87
8.76,0,634,25.0,9,6,3,0,4.6,100
9.22,0,730,27.0,10,6,2,4,4.9,100
7.64,0,576,,5,0,2,3,5.3,86
7.45,0,655,8.0,5,3,1,0,4.4,81
8.06,0,698,3.0,1,1,1,4,4.7,72
7.98,0,780,18.0,5,3,2,3,2.6,77
6.19,3,713,0.0,1,0,2,4,2.8,89
5.68,1,652,12.0,4,1,1,3,2.8,68
7.26,0,674,32.0,7,3,3,4,4.4,66
9.8,0,789,26.0,9,2,3,4,4.5,89
8.37,1,649,35.0,8,4,2,2,3.1,88
7.26,0,842,20.0,6,0,3,2,4.8,90
7.85,1,252,35.0,8,5,7,2,6.1,100
7.05,0,527,25.0,7,2,4,0,5.5,90
7.38,0,715,24.0,7,1,3,4,4.8,71
7.63,3,749,19.0,6,4,3,3,4.9,94
8.71,1,696,12.0,6,4,5,4,5.3,100
7.65,0,918,1.0,2,3,3,4,4.0,70
7.59,1,859,6.0,1,0,1,0,0.8,62
8.53,0,728,23.0,9,4,5,0,6.6,100
5.41,0,675,0.0,3,2,1,7,2.4,63
6.2,0,457,30.0,9,3,3,0,2.7,100
7.76,1,459,22.0,6,1,3,6,4.1,83
7.25,0,839,12.0,4,1,2,2,3.4,91
6.86,0,630,22.0,10,5,3,0,4.8,100
7.11,2,558,20.0,6,3,0,5,1.8,43
6.91,0,523,23.0,6,0,4,1,4.1,100
8.05,1,863,9.0,5,2,3,1,4.1,94
6.09,0,629,12.0,5,3,1,0,3.7,64
7.64,2,632,23.0,6,3,3,4,5.6,94
8.08,0,706,16.0,4,3,2,3,3.1,65
7.31,0,711,34.0,12,7,6,2,5.7,100
6.37,0,358,20.0,7,4,2,3,5.1,100
6.93,0,764,30.0,9,3,4,6,5.1,100
7.49,0,668,20.0,8,5,4,0,4.7,100
7.6,1,734,8.0,6,3,3,3,2.8,66
7.33,0,750,23.0,7,5,3,1,4.8,100
7.98,1,636,9.0,3,1,2,3,4.0,91
7.57,1,636,,5,4,2,2,4.2,88
7.9,2,663,21.0,9,4,4,4,3.9,100
6.38,1,780,19.0,7,4,3,1,4.5,61
7.35,2,679,11.0,5,2,3,0,3.7,91
6.93,0,749,26.0,8,5,3,2,4.6,94
7.75,0,566,0.0,6,2,4,5,3.7,100
7.52,0,604,11.0,4,0,2,4,3.2,86
6.69,0,605,12.0,7,0,2,4,3.4,85
7.12,0,613,28.0,9,6,1,5,3.8,88
7.54,0,729,19.0,6,0,2,2,3.8,74
7.03,0,746,14.0,8,3,4,3,4.3,100
7.69,0,617,7.0,2,3,3,2,3.0,78
6.47,0,616,25.0,7,3,4,2,5.9,100
7.33,1,595,14.0,5,2,2,2,3.4,76
6.96,0,621,16.0,5,2,0,4,1.7,63
7.62,0,419,24.0,9,7,5,1,4.0,100
7.09,0,548,36.0,11,6,4,1,3.5,94
8.15,0,644,22.0,7,4,3,5,5.1,98
6.65,0,472,21.0,8,4,5,2,7.4,100
5.52,0,548,1.0,1,1,0,1,3.9,61
5.96,1,499,18.0,6,3,3,2,4.0,88
7.78,0,731,14.0,7,3,3,4,3.9,100
8.09,1,850,16.0,6,4,3,4,4.1,91
6.26,0,414,18.0,7,5,3,7,4.6,100
7.4,0,507,7.0,2,0,1,4,2.7,57
7.34,0,725,16.0,6,3,1,5,3.1,55
7.01,1,492,31.0,8,2,4,2,3.7,100
7.15,2,641,20.0,6,1,2,6,2.9,73
7.21,0,677,35.0,15,6,7,5,5.6,100
6.64,1,854,14.0,6,1,4,4,3.4,100
5.86,0,481,18.0,6,2,2,3,2.4,100
5.77,0,757,14.0,4,0,2,3,6.0,74
6.77,3,699,11.0,3,0,3,2,4.8,90
5.97,0,600,18.0,8,4,3,5,3.2,96
8.11,0,565,19.0,7,4,4,2,3.1,94
8.69,0,518,14.0,5,3,1,0,1.5,79
7.75,2,628,11.0,4,3,1,0,3.2,87
6.76,3,477,30.0,11,5,3,3,2.3,81
8.12,1,729,41.0,11,4,4,2,3.9,100
7.56,0,554,23.0,6,4,3,1,5.0,92
7.45,3,877,23.0,8,4,3,1,4.2,79
6.82,0,614,32.0,9,5,4,2,2.7,100
6.82,0,691,27.0,11,4,5,1,6.1,100
6.98,0,581,6.0,4,1,1,0,1.6,68
7.17,1,532,30.0,8,3,2,2,1.9,84
8.42,0,721,33.0,10,4,3,4,3.6,100
8.4,0,595,18.0,9,3,3,1,2.5,100
7.44,1,538,31.0,9,3,3,0,4.4,100
6.46,0,522,15.0,4,2,0,3,1.8,54
7.36,2,598,16.0,5,1,2,3,2.8,89
9.0,0,860,39.0,11,8,6,3,5.8,100
7.51,0,768,29.0,10,4,6,1,5.0,100
7.19,0,698,18.0,4,1,2,1,4.1,70
6.96,0,523,16.0,3,2,1,4,1.2,69
6.93,0,667,11.0,4,1,1,2,2.8,74
7.44,0,669,28.0,6,1,3,2,4.9,87
5.33,0,599,11.0,4,2,1,0,1.5,73
5.22,1,537,19.0,4,2,2,2,3.7,68
6.46,0,397,14.0,6,2,2,0,2.7,75
8.38,0,857,26.0,9,4,3,1,3.0,100
7.64,0,708,36.0,11,4,8,2,5.2,100
7.3,1,694,34.0,10,4,3,2,4.1,89
7.77,0,659,6.0,3,0,2,4,3.8,72
7.35,2,699,27.0,7,3,4,3,4.8,77
7.18,0,561,5.0,2,0,1,1,3.2,58
9.07,0,664,37.0,11,8,4,2,5.3,98
6.97,0,689,20.0,8,3,2,6,3.6,79
7.52,0,799,4.0,1,0,0,4,1.9,57
7.31,1,876,18.0,6,2,2,1,3.4,91
7.99,0,552,21.0,5,3,4,2,3.8,75
7.29,0,635,,4,0,2,1,4.8,95
7.52,0,712,24.0,9,6,5,1,5.1,100
7.83,0,622,35.0,10,5,4,3,5.6,100
6.07,0,684,31.0,8,3,1,0,3.5,92
6.95,0,787,36.0,9,6,1,2,4.0,73
5.5,0,487,14.0,4,2,2,2,2.5,85
7.15,1,831,29.0,9,2,7,7,5.1,100
7.25,0,579,27.0,9,3,4,2,3.6,100
7.85,2,685,17.0,5,3,2,3,3.1,91
8.09,1,809,27.0,10,3,6,4,5.1,100
7.28,0,623,4.0,3,3,0,3,3.6,62
5.42,0,558,19.0,7,3,3,3,3.7,86
6.42,0,375,14.0,5,1,2,2,4.3,90
7.89,0,588,38.0,12,3,5,3,4.8,100
7.45,0,702,10.0,3,1,1,0,2.8,65
7.53,0,792,1.0,1,0,1,4,2.8,80
8.69,0,905,21.0,9,6,8,0,6.8,100
6.75,0,377,14.0,7,1,2,4,4.1,69
7.81,0,741,20.0,5,4,3,4,5.3,88
7.26,0,523,3.0,5,2,4,3,6.4,90
7.13,0,662,31.0,10,4,6,0,4.6,100
7.59,0,580,20.0,8,0,2,2,4.3,100
7.74,2,436,17.0,6,2,3,2,3.7,79
7.49,3,707,29.0,8,5,3,0,2.0,100
6.79,0,572,30.0,7,5,2,1,4.6,95
9.31,0,803,6.0,3,0,0,5,3.2,61
7.39,0,669,24.0,9,2,5,0,3.6,95
8.26,0,829,34.0,11,3,5,0,6.0,100
6.46,0,506,37.0,12,5,6,0,3.9,100
6.79,0,598,23.0,7,1,3,1,3.1,100
5.65,1,781,9.0,5,2,2,2,3.2,83
7.74,0,609,12.0,5,1,2,2,2.7,72
7.5,3,703,24.0,8,4,6,3,5.8,100
8.2,2,617,11.0,4,2,2,3,3.1,65
6.45,0,715,30.0,7,3,3,1,2.6,64
8.2,0,1072,29.0,12,5,7,4,5.9,100
8.21,0,915,0.0,3,0,1,6,1.7,72
7.77,1,673,19.0,6,2,3,4,4.2,79
8.78,0,604,28.0,7,5,1,0,3.1,58
7.53,2,755,16.0,7,5,2,3,4.6,68
7.66,2,727,0.0,1,1,1,0,2.7,57
8.01,0,571,17.0,4,2,1,2,2.3,85
8.26,0,857,17.0,8,7,3,3,4.3,97
7.08,2,593,22.0,6,0,2,4,3.1,82
7.73,0,508,32.0,9,4,2,0,5.2,77
8.46,2,718,21.0,5,2,1,2,3.5,67
6.82,2,856,13.0,2,0,0,0,2.6,48
7.9,0,484,13.0,4,2,1,2,2.5,60
7.4,0,768,11.0,5,2,5,4,5.2,100
7.19,0,619,21.0,6,3,2,1,3.7,76
6.71,0,674,8.0,6,4,4,2,3.4,100
6.94,0,577,12.0,6,2,3,3,3.7,82
7.78,0,782,17.0,9,3,4,1,4.5,100
6.72,2,438,34.0,11,7,5,4,4.0,100
7.47,2,724,19.0,6,3,3,5,2.1,97
7.27,0,781,16.0,5,2,1,0,2.1,60
8.6,0,842,14.0,7,5,3,4,4.7,77
8.4,2,505,18.0,6,4,2,0,3.8,75
7.42,0,853,9.0,5,4,1,6,1.2,79
5.75,0,674,27.0,10,8,6,4,5.0,100
8.55,0,607,22.0,6,3,2,4,3.1,92
8.27,3,779,32.0,9,4,4,4,5.3,100
7.77,0,343,16.0,5,2,3,1,3.5,92
7.75,3,454,30.0,10,5,4,0,3.6,100
7.79,0,608,22.0,9,4,3,0,3.6,71
7.04,0,572,27.0,8,4,1,0,3.8,100
5.67,0,551,6.0,2,1,0,8,2.6,62
7.64,0,663,,11,5,4,5,7.0,98
9.17,0,691,17.0,4,3,0,5,1.2,76
8.3,0,589,23.0,7,3,1,4,2.9,81
6.8,0,608,,5,4,2,1,3.7,81
6.62,0,621,36.0,10,2,3,5,3.5,94
7.27,1,759,17.0,3,0,0,4,3.3,63
8.21,0,708,21.0,9,4,3,4,3.3,100
7.22,1,509,11.0,5,3,2,5,5.1,84
8.03,0,863,8.0,2,0,2,0,2.9,76
7.56,0,504,23.0,7,3,3,4,2.1,100
6.9,1,540,0.0,1,0,0,2,1.7,47
7.59,0,782,30.0,9,5,4,2,5.4,100
8.37,0,793,19.0,6,0,2,3,4.9,92
8.17,0,594,,7,4,7,0,5.2,100
6.9,0,443,20.0,3,0,1,1,4.4,89
7.73,0,760,14.0,7,1,3,3,2.8,100
8.24,0,609,30.0,11,7,4,4,4.2,100
6.2,2,563,18.0,5,2,2,2,3.5,94
7.65,0,915,21.0,6,1,3,5,3.8,100
6.97,0,543,23.0,9,3,5,5,5.0,100
6.8,2,676,10.0,4,2,0,2,2.4,53
8.25,0,565,,5,2,2,4,3.4,87
7.14,0,523,40.0,11,4,3,4,3.8,100
7.77,1,532,34.0,10,5,5,7,6.6,100
7.6,3,554,12.0,3,2,2,1,1.5,53
8.02,1,833,28.0,10,4,3,6,5.3,100
9.81,0,840,38.0,12,7,7,1,5.0,100
7.44,0,864,12.0,4,3,0,0,2.6,50
8.26,3,738,29.0,10,5,5,0,4.8,100
7.43,0,603,16.0,4,3,1,1,1.9,80
7.72,0,451,22.0,5,1,1,0,2.9,84
7.49,0,382,15.0,8,6,2,2,3.2,100
7.85,0,665,7.0,6,3,3,4,4.9,76
6.49,1,591,12.0,5,0,1,0,2.3,78
8.05,0,881,9.0,3,0,1,1,1.7,58
7.65,2,597,14.0,7,2,4,3,2.3,100
6.93,0,500,16.0,8,5,4,4,3.5,100
7.15,0,607,,5,1,1,4,2.0,67
8.6,2,849,12.0,5,0,2,4,4.0,87
7.81,1,810,15.0,5,0,3,4,2.9,93
7.52,0,818,7.0,3,0,0,5,0.9,64
7.96,1,641,24.0,7,3,2,4,2.3,92
8.96,2,776,14.0,6,3,2,1,1.6,89
7.04,0,542,4.0,5,2,3,6,3.1,100
7.24,1,480,8.0,5,0,4,2,4.8,89
8.28,0,789,7.0,4,1,1,4,4.3,65
6.47,0,515,7.0,4,0,1,0,1.4,82
7.09,0,743,21.0,7,0,3,2,2.7,74
7.56,0,645,28.0,12,1,5,2,5.1,100
7.75,0,487,0.0,5,0,3,0,2.9,61
6.4,0,461,0.0,4,3,2,6,4.5,68
7.24,0,613,11.0,4,2,4,3,4.9,100
6.86,0,582,17.0,4,3,4,0,4.2,100
6.27,0,606,18.0,7,3,4,4,4.8,100
7.79,1,573,18.0,6,2,2,0,3.2,70
6.78,0,684,14.0,5,4,1,0,2.7,76
6.42,1,660,14.0,6,4,1,3,2.4,67
7.74,2,526,11.0,5,2,4,2,3.9,100
7.66,0,674,25.0,8,4,3,2,4.3,100
7.32,0,517,11.0,4,1,2,2,2.8,91
8.04,0,624,28.0,8,2,4,0,7.2,100
8.59,1,603,25.0,9,5,3,4,4.0,100
7.76,1,779,21.0,8,6,3,1,3.3,95
6.85,0,664,33.0,10,4,4,4,4.2,100
8.15,0,521,17.0,6,3,4,5,3.7,100
6.38,0,647,22.0,6,2,3,3,3.8,100
6.75,0,711,0.0,1,0,2,2,2.6,72
7.16,0,661,21.0,6,3,1,1,4.3,64
7.18,0,884,16.0,6,7,3,3,3.2,73
8.56,3,740,13.0,6,2,1,2,2.1,71
7.05,0,569,,6,0,3,1,3.5,78
8.27,0,657,31.0,12,5,7,7,5.4,100
6.43,1,538,30.0,8,3,4,8,4.6,86
6.6,0,549,15.0,4,2,2,3,3.7,61
6.63,2,460,,5,1,2,4,3.5,79
7.9,1,793,7.0,3,1,2,1,4.1,100
8.74,0,841,30.0,9,5,2,3,3.4,94
9.07,0,583,22.0,8,4,3,7,3.9,100
6.45,0,517,28.0,8,2,4,7,5.1,99
5.86,0,416,28.0,8,3,2,3,5.7,97
6.21,0,568,9.0,4,3,3,2,5.4,62
5.99,0,609,15.0,5,3,2,2,6.1,89
6.95,0,462,23.0,5,3,1,0,2.1,99
5.43,0,517,5.0,4,0,1,3,3.0,89
8.15,1,544,4.0,3,0,2,3,2.8,73
8.97,3,568,21.0,6,2,2,3,3.5,97
8.01,2,683,26.0,7,2,5,4,5.4,100
6.37,0,596,11.0,4,3,3,1,2.6,86
7.77,0,706,9.0,3,0,0,3,3.6,47
6.87,0,623,5.0,3,1,2,2,2.1,92
8.28,0,741,31.0,9,2,4,1,4.2,100
7.94,0,395,31.0,10,1,4,1,4.9,100
7.19,0,641,13.0,5,2,1,2,2.2,94
7.47,0,580,4.0,3,1,3,2,5.8,78
7.19,0,671,12.0,7,3,4,1,2.8,100
7.73,0,631,31.0,9,3,7,2,6.4,100
8.49,2,478,12.0,5,3,1,2,4.6,81
6.46,0,599,24.0,7,3,1,1,2.5,56
7.56,2,867,20.0,7,3,4,2,5.7,87
6.32,3,655,19.0,5,1,2,3,3.6,73
8.49,0,792,28.0,9,6,3,5,3.1,100
7.7,0,570,17.0,8,4,5,1,5.2,100
7.8,0,624,16.0,5,1,3,5,4.0,93
7.89,0,675,6.0,3,2,3,4,3.3,86
7.39,0,432,17.0,7,3,4,2,3.2,88
8.52,0,671,19.0,8,2,3,1,5.5,81
8.47,0,741,17.0,6,3,2,0,3.9,78
6.34,0,662,9.0,7,5,3,6,3.3,79
6.23,0,542,17.0,5,2,2,2,2.2,84
6.37,0,649,13.0,1,0,0,1,3.2,50
6.14,0,642,26.0,8,2,5,2,6.1,100
7.16,2,550,24.0,6,4,4,0,4.2,95
7.47,3,463,14.0,7,3,1,0,2.3,98
9.51,0,696,17.0,9,3,5,3,4.5,100
7.99,0,636,25.0,5,3,4,6,3.5,96
7.36,0,636,7.0,2,1,3,4,3.8,90
8.52,0,618,6.0,5,5,3,4,3.7,92
8.54,0,604,36.0,11,5,4,3,3.5,100
6.65,0,624,15.0,6,2,1,4,2.0,85
6.91,0,470,24.0,7,4,2,5,3.8,94
6.8,0,718,20.0,8,5,4,5,7.6,100
7.77,2,688,6.0,4,1,3,2,3.4,83
5.97,0,545,22.0,7,4,3,3,3.4,90
6.91,0,679,8.0,4,2,1,2,4.1,57
7.94,1,684,14.0,6,3,1,3,4.2,85
6.83,1,393,1.0,2,3,3,8,4.8,64
7.31,0,609,34.0,9,0,5,2,5.4,100
6.9,0,443,20.0,8,4,1,3,2.5,70
7.44,0,714,7.0,4,2,1,1,3.5,91
6.72,0,576,36.0,11,3,6,2,4.1,100
7.85,0,647,26.0,8,3,5,4,5.9,100
5.99,0,526,8.0,4,2,1,1,1.5,74
7.76,0,673,23.0,5,2,1,5,3.2,83
7.22,0,583,10.0,2,1,2,7,4.6,66
7.11,0,617,21.0,6,4,4,1,5.4,93
6.08,0,764,19.0,7,1,3,0,3.1,93
8.13,0,798,15.0,5,2,1,1,1.9,59
7.13,0,614,24.0,8,3,4,1,3.7,95
8.76,3,709,21.0,7,3,3,0,1.9,100
8.68,0,813,23.0,9,2,3,1,3.1,94
7.42,1,784,17.0,7,2,3,4,4.5,100
7.46,1,580,22.0,8,2,7,1,6.7,100
8.23,3,765,13.0,5,2,4,1,3.7,90
8.11,1,858,22.0,8,5,3,3,2.8,100
6.98,2,370,5.0,5,4,1,5,3.5,87
